City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Bengkulu,ID,2022-01-27 22:39:35,-3.8004,102.2655,75.9,88,99,3.56
67,Umm Lajj,SA,2022-01-27 22:39:35,25.0213,37.2685,59.85,47,63,15.21
68,Tiksi,RU,2022-01-27 22:39:35,71.6872,128.8694,-14.15,97,32,10.4
69,East London,ZA,2022-01-27 22:39:36,-33.0153,27.9116,73.6,90,8,13.78
70,Atar,MR,2022-01-27 22:39:36,20.5169,-13.0499,66.87,34,99,7.27
71,Hermanus,ZA,2022-01-27 22:39:36,-34.4187,19.2345,65.89,82,21,3.76
72,Srivardhan,IN,2022-01-27 22:39:37,18.0333,73.0167,69.42,48,0,7.38
73,Kutum,SD,2022-01-27 22:39:37,14.2,24.6667,50.29,24,64,9.98
74,Banikoara,BJ,2022-01-27 22:39:37,11.2985,2.4386,72.27,19,5,5.68
75,Maniitsoq,GL,2022-01-27 22:39:38,65.4167,-52.9,4.51,84,100,15.88
76,Datong,CN,2022-01-27 22:35:28,40.0936,113.2914,13.23,52,26,2.95
77,Khatanga,RU,2022-01-27 22:39:38,71.9667,102.5,6.37,80,99,17.74
78,Busselton,AU,2022-01-27 22:39:39,-33.65,115.3333,56.05,75,0,10.42
79,Chuy,UY,2022-01-27 22:39:39,-33.6971,-53.4616,66.65,64,69,8.72
80,Arlit,NE,2022-01-27 22:39:39,18.7369,7.3853,60.24,24,43,7.2
81,Port Lincoln,AU,2022-01-27 22:39:40,-34.7333,135.8667,69.76,73,16,7.96
82,Luderitz,NA,2022-01-27 22:34:47,-26.6481,15.1594,67.75,75,0,21.94
83,Kenai,US,2022-01-27 22:39:40,60.5544,-151.2583,28.15,93,100,18.41
84,New Norfolk,AU,2022-01-27 22:39:41,-42.7826,147.0587,84.65,51,34,3.0
85,Novyy Urengoy,RU,2022-01-27 22:39:41,66.0833,76.6333,5.09,93,100,16.08
86,Darhan,MN,2022-01-27 22:39:41,49.4867,105.9228,-14.93,99,37,1.52
87,Rikitea,PF,2022-01-27 22:39:42,-23.1203,-134.9692,78.78,76,94,17.49
88,Meulaboh,ID,2022-01-27 22:39:42,4.1363,96.1285,75.69,91,82,3.89
89,Mareeba,AU,2022-01-27 22:39:42,-17.0,145.4333,78.44,92,100,2.48
90,Wana,PK,2022-01-27 22:39:43,32.2989,69.5725,39.45,37,1,3.0
91,Sitka,US,2022-01-27 22:40:43,57.0531,-135.33,46.29,61,100,16.11
92,Faanui,PF,2022-01-27 22:40:44,-16.4833,-151.75,81.18,76,36,15.08
93,Coahuayana,MX,2022-01-27 22:40:44,18.7333,-103.6833,90.88,51,65,5.91
94,Salalah,OM,2022-01-27 22:40:44,17.0151,54.0924,73.49,68,75,5.75
95,Hobart,AU,2022-01-27 22:40:18,-42.8794,147.3294,85.01,59,0,1.01
96,Kahului,US,2022-01-27 22:39:20,20.8947,-156.47,82.42,62,20,6.91
97,Nsanje,MW,2022-01-27 22:40:45,-16.92,35.262,74.57,98,100,3.11
98,Arraial Do Cabo,BR,2022-01-27 22:40:45,-22.9661,-42.0278,80.56,73,0,13.8
99,Lebu,CL,2022-01-27 22:40:46,-37.6167,-73.65,64.06,82,5,7.25
100,Hornepayne,CA,2022-01-27 22:40:46,49.2138,-84.7705,-4.23,88,100,9.17
101,Cidreira,BR,2022-01-27 22:40:47,-30.1811,-50.2056,72.52,61,76,13.24
102,Dabrowa Tarnowska,PL,2022-01-27 22:40:47,50.1746,20.9863,38.53,94,100,17.43
103,Yumen,CN,2022-01-27 22:40:47,40.2833,97.2,18.03,43,6,8.01
104,Cherskiy,RU,2022-01-27 22:40:48,68.75,161.3,-37.32,96,36,2.53
105,Henties Bay,NA,2022-01-27 22:40:48,-22.116,14.2845,65.86,88,51,10.65
106,Geraldton,AU,2022-01-27 22:40:48,-28.7667,114.6,74.12,56,0,9.22
107,Nikolskoye,RU,2022-01-27 22:40:49,59.7035,30.7861,31.87,96,100,8.37
108,Qaqortoq,GL,2022-01-27 22:40:49,60.7167,-46.0333,19.9,90,16,3.87
109,Norman Wells,CA,2022-01-27 22:40:49,65.282,-126.8329,-0.36,78,100,5.75
110,Aksarka,RU,2022-01-27 22:40:50,66.5606,67.7975,-7.02,100,97,3.89
111,Kaitangata,NZ,2022-01-27 22:40:50,-46.2817,169.8464,59.94,60,50,4.99
112,Somotillo,NI,2022-01-27 22:40:51,13.0433,-86.9064,93.52,19,10,13.51
113,Naryan-Mar,RU,2022-01-27 22:40:51,67.6713,53.087,5.95,95,96,12.46
114,Lai,TD,2022-01-27 22:40:51,9.3952,16.2989,76.14,21,100,8.79
115,Balkhash,KZ,2022-01-27 22:40:52,46.844,74.9804,2.17,85,5,11.16
116,Bagdarin,RU,2022-01-27 22:40:52,54.4333,113.6,-16.33,96,31,4.09
117,Ribeira Grande,PT,2022-01-27 22:40:52,38.5167,-28.7,60.17,74,13,13.98
118,Safaga,EG,2022-01-27 22:40:53,26.7292,33.9365,51.75,53,0,13.04
119,Leningradskiy,RU,2022-01-27 22:40:53,69.3833,178.4167,-16.96,94,46,1.61
120,Opportunity,US,2022-01-27 22:40:53,47.6499,-117.2399,39.9,71,0,1.99
121,Carnarvon,AU,2022-01-27 22:40:54,-24.8667,113.6333,71.67,83,8,3.44
122,Damara,CF,2022-01-27 22:40:54,4.9608,18.7035,78.22,22,85,4.43
123,Georgetown,MY,2022-01-27 22:36:57,5.4112,100.3354,79.9,90,20,0.0
124,Pyinmana,MM,2022-01-27 22:40:55,19.7333,96.2167,61.27,62,5,2.8
125,Praya,CV,2022-01-27 22:40:55,14.9215,-23.5087,70.34,68,75,21.85
126,Pinsk,BY,2022-01-27 22:40:55,52.1229,26.0951,32.95,97,100,16.62
127,Kaeo,NZ,2022-01-27 22:40:56,-35.1,173.7833,74.32,69,72,15.23
128,Muros,ES,2022-01-27 22:40:56,42.7762,-9.0603,49.84,77,1,10.09
129,Tonj,SS,2022-01-27 22:40:56,7.2737,28.6822,73.87,22,67,5.55
130,Clyde River,CA,2022-01-27 22:40:57,70.4692,-68.5914,-5.57,77,100,24.16
131,Sola,VU,2022-01-27 22:40:57,-13.8833,167.55,81.72,77,99,18.07
132,Havoysund,NO,2022-01-27 22:40:58,70.9963,24.6622,23.88,92,100,2.68
133,Lompoc,US,2022-01-27 22:38:23,34.6391,-120.4579,71.42,48,0,8.05
134,Jalu,LY,2022-01-27 22:40:58,29.0331,21.5482,50.76,71,70,8.52
135,Sigulda,LV,2022-01-27 22:40:58,57.1519,24.8647,36.32,98,100,7.0
136,Hvolsvollur,IS,2022-01-27 22:40:59,63.7533,-20.2243,35.82,95,100,18.77
137,Jamestown,US,2022-01-27 22:38:57,42.097,-79.2353,27.09,61,100,5.99
138,Alofi,NU,2022-01-27 22:41:59,-19.0595,-169.9187,82.29,74,75,13.8
139,Bethel,US,2022-01-27 22:42:00,41.3712,-73.414,29.48,63,0,9.22
140,Fort Nelson,CA,2022-01-27 22:41:15,58.8053,-122.7002,20.79,100,100,3.44
141,Moose Factory,CA,2022-01-27 22:38:25,51.2585,-80.6094,-5.8,59,40,9.22
142,Brae,GB,2022-01-27 22:42:00,60.3964,-1.353,40.91,66,51,9.55
143,Farah,AF,2022-01-27 22:42:01,32.5,62.5,44.01,35,74,2.66
144,Avarua,CK,2022-01-27 22:42:01,-21.2078,-159.775,82.45,83,40,14.97
145,George,ZA,2022-01-27 22:42:01,-33.963,22.4617,65.75,94,100,3.44
146,Ponta Do Sol,PT,2022-01-27 22:42:02,32.6667,-17.1,59.63,74,48,4.85
147,Mayumba,GA,2022-01-27 22:42:02,-3.432,10.6554,76.19,89,54,2.28
148,Sept-Iles,CA,2022-01-27 22:42:02,50.2001,-66.3821,12.06,73,75,5.01
149,Koson,UZ,2022-01-27 22:42:03,39.0375,65.585,52.12,24,100,5.93
150,Moncagua,SV,2022-01-27 22:42:03,13.5333,-88.25,97.09,23,0,4.61
151,Severo-Kurilsk,RU,2022-01-27 22:42:03,50.6789,156.125,24.93,80,96,37.74
152,Sao Sebastiao,BR,2022-01-27 22:42:04,-23.76,-45.4097,77.02,87,96,3.38
153,Lasa,IT,2022-01-27 22:42:04,46.6166,10.7002,44.06,52,31,7.56
154,Junagarh,IN,2022-01-27 22:42:05,19.8667,82.9333,52.07,54,12,1.07
155,Porbandar,IN,2022-01-27 22:42:05,21.6422,69.6093,61.81,44,0,12.71
156,Talara,PE,2022-01-27 22:42:05,-4.5772,-81.2719,72.88,82,48,9.46
157,Mahebourg,MU,2022-01-27 22:42:06,-20.4081,57.7,75.49,78,20,3.44
158,Lazaro Cardenas,MX,2022-01-27 22:42:06,17.9583,-102.2,81.97,59,61,9.4
159,Bagn,NO,2022-01-27 22:42:06,60.8225,9.5521,30.92,64,75,10.42
160,Fairbanks,US,2022-01-27 22:38:31,64.8378,-147.7164,-5.4,75,75,0.0
161,Lumeje,AO,2022-01-27 22:42:07,-11.55,20.7833,64.94,95,100,4.9
162,Nampula,MZ,2022-01-27 22:42:08,-15.1165,39.2666,71.55,100,75,6.91
163,Rio Gallegos,AR,2022-01-27 22:42:08,-51.6226,-69.2181,69.85,37,20,8.05
164,Ikom,NG,2022-01-27 22:42:08,5.9667,8.7063,77.47,42,80,1.86
165,Sangin,AF,2022-01-27 22:42:09,32.0728,64.8359,44.06,34,22,8.37
166,Isangel,VU,2022-01-27 22:42:09,-19.55,169.2667,86.11,79,75,6.91
167,Qaanaaq,GL,2022-01-27 22:42:09,77.484,-69.3632,-9.27,71,34,7.76
168,Kodiak,US,2022-01-27 22:42:10,57.79,-152.4072,36.91,87,100,11.5
169,Tasiilaq,GL,2022-01-27 22:42:10,65.6145,-37.6368,19.56,95,100,3.85
170,Dong Xoai,VN,2022-01-27 22:42:10,11.5333,106.9167,66.09,79,58,2.71
171,Sao Joao Da Barra,BR,2022-01-27 22:42:11,-21.6403,-41.0511,76.32,89,4,16.69
172,Milkovo,RU,2022-01-27 22:42:11,54.7167,158.6167,14.05,95,100,0.16
173,Mar Del Plata,AR,2022-01-27 22:39:07,-38.0023,-57.5575,62.87,73,20,7.0
174,Vanavara,RU,2022-01-27 22:42:12,60.34,102.2797,-13.94,100,100,2.33
175,Ugoofaaru,MV,2022-01-27 22:42:12,5.6667,73.0,79.16,57,29,9.06
176,Komsomolskiy,UZ,2022-01-27 22:42:12,40.4272,71.7189,27.82,63,51,2.3
177,Tabas,IR,2022-01-27 22:42:13,33.5959,56.9244,56.32,41,67,6.11
178,Esperance,AU,2022-01-27 22:41:00,-33.8667,121.9,64.24,66,54,11.18
179,Linjiang,CN,2022-01-27 22:42:13,41.8069,126.9078,-1.79,100,68,1.03
180,Almendralejo,ES,2022-01-27 22:42:14,38.6832,-6.4075,47.26,73,20,4.0
181,Duzce,TR,2022-01-27 22:40:42,40.8389,31.1639,23.29,93,70,5.66
182,Semnan,IR,2022-01-27 22:42:14,35.5729,53.3971,35.44,93,0,2.3
183,Ouadda,CF,2022-01-27 22:42:15,8.0777,22.4007,70.7,20,92,8.41
184,Raga,SS,2022-01-27 22:42:15,8.4596,25.678,67.55,23,95,4.63
185,Makakilo City,US,2022-01-27 22:43:15,21.3469,-158.0858,79.61,53,20,8.05
186,Dubrovka,RU,2022-01-27 22:43:16,53.6907,33.5071,21.18,95,99,12.93
187,Puerto Carreno,CO,2022-01-27 22:41:25,6.189,-67.4859,91.38,35,20,11.5
188,Taboshar,TJ,2022-01-27 22:43:16,40.5686,69.6413,28.72,24,88,14.65
189,Pangnirtung,CA,2022-01-27 22:43:16,66.1451,-65.7125,-13.0,58,100,8.05
190,Tura,IN,2022-01-27 22:43:17,25.5198,90.2201,48.04,65,0,2.28
191,Walvis Bay,NA,2022-01-27 22:43:17,-22.9575,14.5053,66.09,82,12,5.75
192,Cayenne,GF,2022-01-27 22:43:17,4.9333,-52.3333,75.24,88,0,0.0
193,Dharchula,IN,2022-01-27 22:43:18,29.85,80.5333,36.45,49,5,8.7
194,Lagoa,PT,2022-01-27 22:43:18,39.05,-27.9833,59.11,75,24,16.55
195,Vikulovo,RU,2022-01-27 22:43:19,56.8167,70.6107,1.38,99,67,6.26
196,Hilo,US,2022-01-27 22:43:19,19.7297,-155.09,80.33,60,0,11.5
197,Talnakh,RU,2022-01-27 22:43:20,69.4865,88.3972,4.21,93,100,15.95
198,Nieuw Amsterdam,SR,2022-01-27 22:43:20,5.8833,-55.0833,80.62,75,40,9.22
199,Blythe,US,2022-01-27 22:43:20,33.6103,-114.5964,70.25,11,0,13.8
200,Prince Rupert,CA,2022-01-27 22:43:21,54.3161,-130.3201,48.29,46,0,9.22
201,Medicine Hat,CA,2022-01-27 22:42:56,50.0501,-110.6683,46.11,62,75,5.01
202,Moorhead,US,2022-01-27 22:43:21,46.8739,-96.7676,3.22,66,0,16.11
203,Marzuq,YE,2022-01-27 22:43:21,14.4,46.4667,60.84,73,83,3.65
204,Provideniya,RU,2022-01-27 22:43:22,64.3833,-173.3,-3.64,65,0,6.71
205,Awjilah,LY,2022-01-27 22:43:22,29.1081,21.2869,51.69,68,68,7.18
206,Shingu,JP,2022-01-27 22:43:22,33.7333,135.9833,40.93,71,94,5.68
207,Los Llanos De Aridane,ES,2022-01-27 22:43:23,28.6585,-17.9182,56.12,76,75,4.0
208,Ancud,CL,2022-01-27 22:43:23,-41.8697,-73.8203,78.33,72,0,6.31
209,Hun,LY,2022-01-27 22:43:24,29.1268,15.9477,45.52,51,74,4.03
210,Villa Rica,US,2022-01-27 22:43:24,33.7321,-84.9191,52.54,48,10,2.89
211,Barrow,US,2022-01-27 22:43:24,71.2906,-156.7887,-14.78,76,0,11.5
212,Paragominas,BR,2022-01-27 22:43:25,-2.9667,-47.4833,71.78,99,100,3.09
213,Poli,TZ,2022-01-27 22:43:25,-3.3333,36.8,64.67,83,47,5.39
214,Matay,EG,2022-01-27 22:43:25,28.419,30.7792,46.18,66,4,5.75
215,Karratha,AU,2022-01-27 22:39:44,-20.7377,116.8463,78.44,71,5,13.15
216,Rocha,UY,2022-01-27 22:38:27,-34.4833,-54.3333,61.88,74,13,5.91
217,Vestmannaeyjar,IS,2022-01-27 22:43:26,63.4427,-20.2734,42.87,87,100,26.73
218,Talcahuano,CL,2022-01-27 22:43:26,-36.7167,-73.1167,62.28,82,100,10.36
219,Alekseyevsk,RU,2022-01-27 22:43:27,57.8406,108.3492,-16.71,100,96,1.12
220,Abdanan,IR,2022-01-27 22:43:27,32.9926,47.4198,38.48,66,1,2.77
221,Cuiluan,CN,2022-01-27 22:43:27,47.72,128.648,-9.45,99,94,3.8
222,Kruisfontein,ZA,2022-01-27 22:43:28,-34.0033,24.7314,65.88,88,100,5.99
223,Sarakhs,IR,2022-01-27 22:43:28,36.5449,61.1577,55.54,38,12,6.91
224,San Luis,AR,2022-01-27 22:43:28,-33.295,-66.3356,71.4,68,94,4.54
225,Calvinia,ZA,2022-01-27 22:43:29,-31.4707,19.776,69.51,35,0,5.91
226,Kismayo,SO,2022-01-27 22:43:29,-0.3582,42.5454,76.19,79,18,11.12
227,Springbok,ZA,2022-01-27 22:43:29,-29.6643,17.8865,65.75,50,0,5.35
228,Samarai,PG,2022-01-27 22:43:30,-10.6167,150.6667,81.88,75,100,6.26
229,Dekernes,EG,2022-01-27 22:43:30,31.0876,31.595,48.09,93,42,7.65
230,Vaitape,PF,2022-01-27 22:44:31,-16.5167,-151.75,81.19,76,37,15.03
231,Ereymentau,KZ,2022-01-27 22:44:31,51.6199,73.1033,0.77,82,65,4.74
232,Lorengau,PG,2022-01-27 22:44:31,-2.0226,147.2712,82.94,76,94,5.23
233,Frutal,BR,2022-01-27 22:44:32,-20.0247,-48.9406,76.1,78,90,5.75
234,Tilichiki,RU,2022-01-27 22:44:32,60.4667,166.1,26.37,81,100,32.44
235,Mezen,RU,2022-01-27 22:44:32,65.8522,44.24,9.93,95,100,7.07
236,Port-Cartier,CA,2022-01-27 22:44:33,50.0334,-66.8654,11.75,93,100,3.83
237,Bousso,TD,2022-01-27 22:44:33,10.4795,16.7117,73.89,19,92,9.78
238,Egvekinot,RU,2022-01-27 22:44:33,66.3167,-179.1667,-5.89,93,100,0.76
239,Klaksvik,FO,2022-01-27 22:44:34,62.2266,-6.589,41.92,71,97,21.05
240,Hinton,CA,2022-01-27 22:44:34,53.4001,-117.5857,32.04,74,44,8.01
241,Lukovetskiy,RU,2022-01-27 22:44:35,64.2956,41.9211,10.38,93,100,7.18
242,Hami,CN,2022-01-27 22:44:35,42.8,93.45,22.23,44,2,1.41
243,Bahraich,IN,2022-01-27 22:44:35,27.5833,81.6,48.22,81,0,7.47
244,Pangai,TO,2022-01-27 22:44:36,-19.8,-174.35,83.73,76,71,16.28
245,Banon,ES,2022-01-27 22:44:36,40.8382,-1.1909,34.86,75,0,4.61
246,Kerrville,US,2022-01-27 22:39:46,30.0474,-99.1403,58.87,62,100,1.01
247,Ucluelet,CA,2022-01-27 22:44:37,48.9329,-125.5528,49.08,78,23,1.99
248,Kapaa,US,2022-01-27 22:44:37,22.0752,-159.319,81.12,67,0,1.99
