City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
143,Mahebourg,MU,75.49,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
144,Mangai,CD,73.8,overcast clouds,-4.05,19.5333,
147,Kavaratti,IN,78.42,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
149,Ranong,TH,76.93,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
152,Ladario,BR,75.4,few clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
156,Martapura,ID,77.09,few clouds,-3.4167,114.85,Montana Hotel Syariah
157,Hualmay,PE,70.38,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
158,Kavieng,PG,83.82,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
159,Mar Del Plata,AR,67.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
160,Port Lincoln,AU,69.17,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
162,Camocim,BR,77.67,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
163,Bonfim,BR,84.38,overcast clouds,3.0833,-59.95,
164,Hermanus,ZA,63.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
168,Marsh Harbour,BS,74.07,clear sky,26.5412,-77.0636,Abaco Beach Resort
170,Finschhafen,PG,85.08,overcast clouds,-6.6024,147.8681,Cossam Guest House
173,Ribeira Grande,PT,60.12,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
174,Araouane,ML,65.71,clear sky,18.9048,-3.5265,
177,Kasongo-Lunda,CD,70.29,overcast clouds,-6.4667,16.8167,
181,Vanimo,PG,84.87,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
182,Vila Do Maio,CV,71.55,clear sky,15.1333,-23.2167,Hotel Marilu
183,Ukiah,US,78.69,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
184,Tagusao,PH,82.18,overcast clouds,9.1924,117.8141,Green Villa beach resort
